Text,id,CUI,CONCEPT,Similarity
The vertigo is rendering me unable to function in daily life causing me to lose work.,22,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.9090122417870962
The vertigo is rendering me unable to function in daily life causing me to lose work.,22,C0563158 ,"Compulsion to act on dangerous thoughts,Compulsion to act on dangerous thoughts",0.8841453718146951
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,23,C1562291 ,"Loss of interest in previously enjoyable activity,Loss of interest",0.8568059859873169
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,23,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.8461422926898828
My vertigo has not responded to conservative treatment thus far.,24,C0423994 ,"Unable to think clearly,Unable to think clearly",0.8770830318269414
My vertigo has not responded to conservative treatment thus far.,24,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.8523255431369793
"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",25,C0151786 ,"Muscle Weakness,Muscle weakness",0.8675726904674117
"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",25,C0151786 ,"Muscle Weakness,muscle weakness",0.8675726904674117
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,26,C0233408 ,"Disorientated in time,disorientated in time",0.8214470582354848
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,26,C0233408 ,"Disorientated in time,Disorientated in time",0.8214470582354848
"Im sorry this is more about not taking it than about side effects of taking it.
28	""I was given samples today and took one dose before coming to this site, where I learned that insomnia and decreased libido are serious side effects for many people; these are already major, major issues for me, By now, the first feelings of """"tightness"""" in my head, dry mouth, and a little bit of jitters have begun.""
29	As a result surely of prior conditions, but I do feel in part because of the drug or its jittery side effects, Ive been unable to stop weeping for the past hour.",27,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.9009192071642631
"Im sorry this is more about not taking it than about side effects of taking it.
28	""I was given samples today and took one dose before coming to this site, where I learned that insomnia and decreased libido are serious side effects for many people; these are already major, major issues for me, By now, the first feelings of """"tightness"""" in my head, dry mouth, and a little bit of jitters have begun.""
29	As a result surely of prior conditions, but I do feel in part because of the drug or its jittery side effects, Ive been unable to stop weeping for the past hour.",27,C0563158 ,"Compulsion to act on dangerous thoughts,Compulsion to act on dangerous thoughts",0.899393525486033
Extreme Weight Gain 30 pounds.,30,C0043094 ,"Weight Gain,Weight gain",0.8781906287622554
Extreme Weight Gain 30 pounds.,30,C0000765 ,"Excessive body weight gain,Excessive weight gain",0.8733150580142655
"Excessive perspiration, Erectile dysfunction.",31,C0425769 ,"Excessive orgasm,Excessive orgasm",0.8172619267123251
"Excessive perspiration, Erectile dysfunction.",31,C0242350 ,"Erectile dysfunction,Impotence",0.782323746642852
"Almost no libido at all, Utterly useless.",32,C2981158 ,"Lack of libido,Lack of libido",0.8225053819349646
"Almost no libido at all, Utterly useless.",32,C0424565 ,"Cannot sleep at all,Cannot sleep at all",0.8196757457100463
"Took a while to have an effect on mood obviously,but side-effects alarming:sudden migraines which I had had very infrequently before.",33,C0563158 ,"Compulsion to act on dangerous thoughts,Compulsion to act on dangerous thoughts",0.8808377391102323
